followers,f_of_f_candidate_followers,n_f_of_f,ratio,n_candidate_followers,ratio_normalized,UserID,Real Name,Screenname,Profile Description,Profile Created At,URL,Location,UTC Offset,Time Zone,Favourites Count,Friends Count,Followers Count,Statuses Count,Profile Image URL,candidate_name,names_merge
4.0025363330485606e+17,0.7439024390243902,1062.4218403547673,0.0017597975048585272,3608.0,4.877487541182167e-07,16160352,Claire McCaskill,clairecmc,"Former bunch of stuff including Senator from Missouri, currently @NBCNews and @MSNBC analyst, professional grandmother.",Sat Sep 06 20:20:45 +0000 2008,https://t.co/95S80NSH57,Missouri,None,None,22,66,453931,5871,http://pbs.twimg.com/profile_images/914188913358655488/UzU3FTWt.jpg,claire mccaskill,claire mccaskill
2.102639943819299e+17,6.026643426294821,2375.077689243028,0.00984029670901865,4016.0,2.4502730849149945e-06,16473577,Jon Tester,jontester,"Senate campaign of Jon Tester - dirt farmer & Montana Senator from Big Sandy - RTs, Replies & Follows ≠ Endorsement.",Fri Sep 26 19:59:20 +0000 2008,https://t.co/DSSKRXLcOE,"Big Sandy, Montana",None,None,14,3216,33116,3631,http://pbs.twimg.com/profile_images/1879706550/20120307-TwitterProfPic.jpg,jon tester,jon tester
1.1056189472449739e+17,3.7998588899341486,1473.8993414863594,0.007298532587380236,4252.0,1.7164940233725823e-06,16916445,(((Adam Frodo Kokesh))),adamkokesh,Pragmatic #Libertarian & combat vet running for POTUS to localize the fedl govt & #FinallyFreeAmerica! https://t.co/RGUnK4W05E https://t.co/eIgIrbHFu4,Thu Oct 23 00:46:14 +0000 2008,https://t.co/lM98ivV3sR,"Ash Fork, AZ",None,None,23882,1339,54026,29285,http://pbs.twimg.com/profile_images/1132336273627074562/K4QGG6A5.jpg,adam frodo kokesh,adam kokesh
1.8691620637143117e+17,7.069306930693069,2302.054074638233,0.006875625325055128,3939.0,1.7455255966121172e-06,20113797,Debbie Stabenow,stabenow,Senator Stabenow proudly represents the great State of Michigan in the U.S. Senate.,Thu Feb 05 01:56:00 +0000 2009,https://t.co/ABucRwPAyB, ,None,None,13,244,51218,2123,http://pbs.twimg.com/profile_images/1057598063148236801/wOa1xT4n.jpg,debbie stabenow,debbie stabenow
2.0451763882584182e+17,9.013755158184319,16723.678129298485,0.008069751277952345,727.0,1.110007053363459e-05,20278154,Japheth Campbell,yefeth,Entrepreneur & Internet marketer | Former candidate U.S. Senate | Entertainment Business MS @FullSail | #Bitcoin/Blockchain enthusiast | Retweets ≠ endorsement.,Fri Feb 06 22:24:50 +0000 2009,https://t.co/iBcvmaFoQ9,"Springfield, MO",None,None,1331,1032,851,12132,http://pbs.twimg.com/profile_images/378800000435791429/a43275d9b80305c0105c07b5ca507009.jpeg,japheth campbell,japheth campbell
5.925940720663511e+17,0.6799883313885647,950.5694282380397,0.0012505861610759038,3428.0,3.6481509949705547e-07,20597460,Bill Nelson,SenBillNelson,Former U.S. Senator from Florida,Wed Feb 11 15:44:25 +0000 2009,None,"Florida/ Washington, D.C.",None,None,5,100,347089,1568,http://pbs.twimg.com/profile_images/77360086/senateBillNelson.jpg,bill nelson,bill nelson
1.3250147374904718e+17,5.995486459378134,1641.696339017051,0.004544476424891065,3988.0,1.1395377193809075e-06,24768753,Sherrod Brown,SherrodBrown,Grandfather. Dad. @ConnieSchultz’s partner. Indians fan. Proud Ohioan & United States Senator.,Mon Mar 16 21:01:17 +0000 2009,https://t.co/Dq8GTJzC7w,Ohio,None,None,159,5215,69882,6062,http://pbs.twimg.com/profile_images/1007344365445017600/-nfsyOAC.jpg,sherrod brown,sherrod brown
1.96052592503141e+17,13.79330459041339,2249.801166624398,0.005113131956118305,3943.0,1.2967618453254682e-06,24950622,Dan McCready,McCreadyForNC,"USMC veteran, solar energy entrepreneur, husband, dad of four. Running for US Congress in the #nc09 special election. Let’s put country over party.",Tue Mar 17 20:44:07 +0000 2009,https://t.co/gHaCTQtkc0,"Charlotte, NC",None,None,505,444,55266,1877,http://pbs.twimg.com/profile_images/1036272245478309889/WV9DvjFu.jpg,dan mccready,dan mccready
1.661939432201911e+17,31.14603409933284,3274.4230294044974,0.03871088551711801,4047.0,9.565328766275733e-06,28946201,Leah Vukmir,LeahVukmir,Military Mom. @Packers Fan. @Bucks Fan. @Brewers Fan. ❤️GSDs 🐾 Cheesehead. Wisconsin Freedom Fighter. Liberty Lover. Pro-Life. @NTU VP of State Affairs.,Sun Apr 05 05:20:23 +0000 2009,https://t.co/vOkcXApnnW,"Brookfield, WI",None,None,3162,2873,12604,7688,http://pbs.twimg.com/profile_images/905785570877689856/qEfk4rHA.jpg,leah vukmir,leah vukmir
1.4007687739142734e+17,7.947022972339428,3042.4238162212846,0.007103516930621398,4266.0,1.665146959826864e-06,30815935,Kevin de Leόn,kdeleon,"LA-born, CA-raised. CA Senate President pro Tempore Emeritus. Architect of 💯% Clean Energy & CalSavers Retirement Savings Program for CA.",Mon Apr 13 05:37:44 +0000 2009,https://t.co/xsJqrFFPYL,"California, USA",None,None,10374,713,55974,8167,http://pbs.twimg.com/profile_images/1005168086238953472/wgpA95p8.jpg,kevin de leόn,kevin leόn
