dem_name,score,twitter_name
Kirsten Gillibrand,56,Kyrsten Sinema
Sen Dianne Feinstein,86,Dianne Feinstein*
Chris Murphy,75,Christopher S Murphy
Senator Tom Carper,61,Thomas R Carper
Bill Nelson,100,Bill Nelson
Senator Mazie Hirono,69,Mazie K. Hirono
Archive: Senator Joe Donnelly,59,Joe Donnelly
Jacky Rosen,54,Zak Ringelstein
Senator Ben Cardin,71,Ben Cardin
Elizabeth Warren,91,Elizabeth A. Warren
Debbie Stabenow,100,Debbie Stabenow
Mike Braun,48,David Baria
Claire McCaskill,100,Claire McCaskill
Jon Tester,100,Jon Tester
Jacky Rosen,42,Jane Raybould
Jacky Rosen,100,Jacky Rosen
Menendez for NJ,53,Robert Menendez
Martin Heinrich,94,Martin T Heinrich
Kirsten Gillibrand,92,Kirsten E. Gillibrand
Sherrod Brown,100,Sherrod Brown
Senator Tom Carper,46,Robert P Casey Jr
Sheldon Whitehouse,100,Sheldon Whitehouse
Phil Bredesen,100,Phil Bredesen
Beto O'Rourke,100,Beto O'Rourke
Jenny Wilson,100,Jenny Wilson
Tim Kaine,72,Timothy M. Kaine
Sen. Maria Cantwell,85,Maria Cantwell
Senator Joe Manchin,73,Joe Manchin
Sen. Tammy Baldwin,84,Tammy Baldwin
Senator Tom Carper,47,Gary Trauner
