ratio_normalized,Real Name
4.877487541182167e-07,Claire McCaskill
2.4502730849149945e-06,Jon Tester
1.7164940233725823e-06,(((Adam Frodo Kokesh)))
1.7455255966121172e-06,Debbie Stabenow
1.110007053363459e-05,Japheth Campbell
3.6481509949705547e-07,Bill Nelson
1.1395377193809075e-06,Sherrod Brown
1.2967618453254682e-06,Dan McCready
9.565328766275733e-06,Leah Vukmir
1.665146959826864e-06,Kevin de Leόn
1.5444150032144054e-05,David Baria
2.16280952979155e-07,Amy Klobuchar
4.976911913785483e-06,Dean Heller
4.061708186871665e-08,Mitt Romney
2.1510852355119644e-06,Marsha Blackburn
3.757786934394839e-08,Kirsten Gillibrand
1.0016685450178538e-06,Senator Mazie Hirono
4.144000491028291e-06,Bob Casey Jr.
1.248512782101822e-07,Gov. Gary Johnson
3.840900079569875e-05,Arvin Vohra
1.7239104891655005e-05,Murray Sabrin
2.6130521839910187e-06,Senator Ben Cardin
1.240771359761419e-06,Sen. Maria Cantwell
1.4616665451356823e-05,Arvin Vohra
3.869824270468311e-07,Chris Murphy
2.631138708118285e-06,John Bel Edwards
7.633037006611374e-07,Tim Kaine
1.2223674629215514e-06,Sen. John Barrasso
1.3702165713184241e-06,Archive: Senator Joe Donnelly
5.180381474839192e-09,Bernie Sanders
7.817295341145603e-07,Senator Joe Manchin
4.06512396594974e-07,Sheldon Whitehouse
1.2921759173363554e-06,Senator Tom Carper
1.8611640623210955e-05,Allen Thomas
3.489251439796711e-06,Corey Stewart
1.0203105243373902e-05,Tate Reeves
1.2334695138774177e-05,Jim Hood
9.883852903515375e-06,Susan Hutchison
9.333118204017985e-06,Deb Fischer
5.543384453329143e-08,Beto O'Rourke
6.582156503866779e-07,"Dr. Shiva Ayyadurai, MIT PhD. Inventor of Email"
3.9037993879591464e-06,Menendez for NJ
1.9254892426641884e-06,Heidi Heitkamp
3.472352680440645e-08,Sen Dianne Feinstein
2.213275623196661e-05,Craig Bowden
3.5740681309609593e-06,Eric Brakey
3.9240769415448805e-08,Elizabeth Warren
7.695378286734474e-07,Senator Angus King
4.970217487665325e-08,Senator Ted Cruz
2.510463295400611e-06,Sen. Tammy Baldwin
5.358501131641554e-07,Martin Heinrich
5.800331681760675e-06,Matt Rosendale
1.8373560443005584e-05,Neal Dikeman
0.0,paula overby
2.578218388560831e-06,Mike Braun
2.6343461521625863e-05,Dan Bishop
7.972135658119747e-06,Jane Raybould
1.3199098932669929e-06,Jenny Wilson
4.917436812528579e-06,Jim Renacci
1.4027506427653854e-06,Josh Hawley
1.6396662352199326e-05,Matthew Corey
0.00017932721618758968,Shawn O'Hara
0.00016230943115235491,Bob Flanders
4.4154173421239484e-05,marcia_marcia
3.5278580843184803e-06,Sen. Murphy Office
2.6271791178570385e-06,Rep. Ralph Abraham
0.0,Hank Schroeder
2.7908839268328407e-06,Andy Beshear
6.690866306041766e-07,Governor Matt Bevin
9.091517554292905e-06,Edward Shlikas
1.459605217824088e-06,Jacky Rosen
2.50320038201645e-05,Mick Rich
6.736665534863084e-05,Danny Bedwell
4.326084103120541e-06,Geoff Diehl
0.00011420132564405689,Kevin Kimple
2.4952666531374017e-05,Eve Reyes-Aguirre
1.1796406317145936e-05,Neal Simon
1.3946267681384762e-06,Phil Bredesen
8.424540889343117e-06,Gary Trauner for U.S. Senate
6.873737408429607e-06,Chele Farley
6.063974669747051e-06,Reed McCandless
1.3779714132951412e-05,Ron Curtis
5.37070455397673e-06,Dr. Greg Murphy
