,state,candidate_win12,party_win12,candidatevotes_win12,totalvotes_win12,pct_votes_win12,n_candidates_win12,gpoll_conservative_18,gpoll_moderate_18,gpoll_liberal_18,gpoll_conservative_advantage_18,gpoll_trump_approval_17,gpoll_trump_disapproval_17,gpoll_republican_lean_17,gpoll_democratic_lean_17,gpoll_democratic_advantage_17,gpoll_conservative_17,gpoll_moderate_17,gpoll_liberal_17,gpoll_conservative_advantage_17,gpoll_economic_confidence_index_17,gpoll_very_religious_17,gpoll_moderately_religious_17,gpoll_nonreligious_17,gpoll_overall_well_being_17,gpoll_uninsured_rate_17,gpoll_exercise_frequently_17,gpoll_eat_produce_frequently_17,gpoll_community_recognition_17,gpoll_feel_active_and_productive_17,gpoll_worried_about_money_17,gpoll_trump_approval_18,gpoll_trump_disapproval_18,state_senate_dem_seats17,state_senate_rep_seats17,state_senate_other_seats17,state_house_dem_seats17,state_house_rep_seats17,state_house_other_seats17,state_senate_diff17,state_house_diff17,pew_income_change_07,pew_income_change_08,pew_income_change_09,pew_income_change_10,pew_income_change_11,pew_income_change_12,pew_income_change_13,pew_income_change_14,pew_income_change_15,pew_income_change_16,pew_income_change_17,pew_income_change_18,candidatevotes2012_dem,candidatevotes2016_dem,totalvotes2012_dem,totalvotes2016_dem,pct_votes2012_dem,pct_votes2016_dem,candidate_18_dem,candidate_18_rep,candidate_votes_18_dem,candidate_votes_18_rep,pct_votes_18_dem,pct_votes_18_rep,incumbent_dem,incumbent_rep,incumbent
0,Arizona,Jeff Flake,republican,1104457,2243422,0.49230907100000004,3,37,36,21,16,41,53,42,40,-2,33,37,23,10,8,31,31,39,63.4,11.0,55.2,59.5,20.0,70.1,32.8,43,52,13.0,17.0,,25.0,35.0,,-4,-10,0.0281,-0.0077,-0.0601,0.0054,0.0289,0.0272,0.0082,0.0401,0.0423,0.0264,0.036000000000000004,0.032,1025232.0,1161167,2299254.0,2573165,0.445897669,0.451260218,Kyrsten Sinema,Martha McSally,1191100.0,1135200,0.49955794299999995,0.476112985,0,0,0
1,California,Dianne Feinstein*,democrat,7864624,12578511,0.625242845,2,29,36,29,0,29,65,30,51,21,27,37,30,-3,1,29,30,41,63.0,10.5,56.9,59.0,19.6,69.4,34.7,29,65,27.0,13.0,,55.0,25.0,,14,30,0.0156,-0.0044,-0.04,0.0353,0.0461,0.0461,-0.0002,0.0522,0.0636,0.0284,0.0268,0.0241,7854285.0,8753788,13038547.0,14181595,0.602389591,0.617263996,Dianne Feinstein*,Kevin De Leon,6019422.0,5093942,0.5416381570000001,0.458361843,1,0,1
2,Connecticut,Christopher S. Murphy,democrat,792983,1511764,0.524541529,5,30,38,27,3,31,63,32,51,19,28,37,30,-2,2,29,29,42,61.7,6.2,52.9,59.5,18.5,69.3,37.2,36,59,18.0,18.0,,79.0,72.0,,0,7,0.0475,0.0384,-0.0228,0.0299,0.0078,0.0011,-0.0359,0.0268,0.0148,0.0033,0.0136,0.0108,905083.0,897572,1558204.0,1644920,0.580850133,0.545663011,Christopher S Murphy,Matthew Corey,787685.0,545717,0.567971071,0.393496726,0,0,0
3,Delaware,Thomas R. Carper,democrat,265415,399606,0.664191729,4,29,43,24,5,36,58,33,45,12,28,38,28,0,-3,35,31,34,61.4,8.0,49.2,59.7,14.0,66.4,33.5,40,57,11.0,10.0,,25.0,16.0,,1,9,0.0045,-0.0272,-0.0005,-0.0002,0.062,-0.0062,-0.0029,0.0259,0.0417,0.0091,0.0212,0.0184,242584.0,235603,413890.0,441590,0.58610742,0.533533368,Thomas R Carper,Robert B Arlett,217385.0,137127,0.5995306020000001,0.37818539799999995,0,0,0
4,Florida,Bill Nelson,democrat,4523451,8189946,0.5523175610000001,4,36,36,22,14,41,53,39,42,3,35,36,22,13,11,35,32,33,63.1,14.6,52.8,58.3,20.0,69.7,35.1,43,51,15.0,25.0,,41.0,79.0,,-10,-38,0.0136,-0.0182,-0.0686,0.0515,0.034,0.0141,-0.0137,0.0601,0.0594,0.0258,0.0301,0.0287,4237756.0,4504975,8474179.0,9420039,0.500078651,0.478233158,Bill Nelson,Rick Scott,4089472.0,4099505,0.499324726,0.500549755,1,0,1
5,Hawaii,Mazie K. Hirono,democrat,269489,437159,0.61645534,4,22,45,28,-6,29,60,28,50,22,25,40,25,0,1,28,27,44,65.2,3.2,61.9,64.6,22.3,71.8,29.6,26,69,25.0,0.0,,45.0,6.0,,25,39,0.0265,0.0294,-0.0103,0.0077,0.0279,0.0223,-0.0028,0.0363,0.0401,0.0219,0.0179,0.0059,306658.0,266891,437159.0,437664,0.701479324,0.609807981,Mazie K. Hirono,Ron Curtis,276316.0,112035,0.711510978,0.288489022,1,0,1
6,Indiana,Joe Donnelly,democrat,1281181,2560102,0.500441389,3,39,38,17,22,44,51,43,41,-2,36,37,22,14,10,42,27,31,60.5,8.6,49.6,55.8,17.5,65.4,35.4,48,47,9.0,41.0,,30.0,70.0,,-32,-40,0.009000000000000001,0.024,-0.0345,0.0324,0.0439,0.0281,-0.0047,0.0195,0.0265,0.0226,0.0215,0.0141,1152887.0,1033126,2624534.0,2734958,0.439273029,0.377748397,Joe Donnelly,Mike Braun,1023553.0,1158000,0.448422279,0.5073239970000001,1,0,1
7,Maine,Angus King,independent for Maine,370580,724720,0.511342312,7,35,29,33,2,42,55,39,47,8,34,31,30,4,4,22,22,55,63.6,9.1,54.9,62.1,24.8,69.6,34.7,37,61,17.0,18.0,,77.0,72.0,2,-1,5,0.0109,0.0204,-0.0092,0.012,0.0186,0.0021,-0.0182,0.0247,0.0305,0.0165,0.0223,0.0174,401306.0,357735,724758.0,771892,0.553710342,0.46345214100000004,Zak Ringelstein,Eric L. Brakey,66268.0,223502,0.104456273,0.352299542,0,0,0
8,Maryland,Benjamin L. Cardin,democrat,1474028,2633234,0.559778584,4,29,39,28,1,30,65,28,56,28,28,37,29,-1,-2,36,32,33,62.0,7.3,50.9,59.2,17.4,68.7,32.6,31,65,33.0,14.0,,90.0,51.0,,19,39,0.013999999999999999,0.0247,-0.0138,0.0242,0.0358,0.01,-0.0202,0.0183,0.0391,0.0257,0.0212,0.0096,1677844.0,1677928,2707327.0,2781446,0.619741908,0.603257442,Ben Cardin,Tony Campbell,1491614.0,697017,0.648559126,0.303065496,0,0,0
9,Massachusetts,Elizabeth A. Warren,democrat,1696346,3184196,0.532739191,4,21,38,35,-14,27,68,26,57,31,22,37,35,-13,2,26,26,49,63.0,3.2,55.3,58.5,18.5,67.6,34.3,29,67,34.0,6.0,,125.0,35.0,,28,90,0.0227,0.0181,-0.0174,0.0369,0.0276,0.0253,-0.0085,0.0317,0.0541,0.0195,0.0235,0.0195,1921290.0,1995196,3184196.0,3378821,0.603383083,0.590500651,Elizabeth A. Warren,Geoff Diehl,1633371.0,979210,0.603367823,0.36172051899999996,1,0,1
