candidate_name,poll_variance,poll_name,score,twitter_name
Adam C. Kokesh,,Adam C. Kokesh,65,(((Adam Frodo Kokesh)))
Amy Klobuchar,16.981098901098903,Amy Klobuchar,100,Amy Klobuchar
Angus S. King Jr.,42.03846666666667,Angus S. King Jr.,57,Senator Angus King
Arvin Vohra,,Arvin Vohra,100,Arvin Vohra
Arvin Vohra,,Arvin Vohra,100,Arvin Vohra
Arvin Vohra,,Arvin Vohra,43,Allen Thomas
Benjamin L. Cardin,21.77999999999999,Benjamin L. Cardin,56,Senator Ben Cardin
Bernard Sanders,57.0,Bernard Sanders,46,Senator Mazie Hirono
Bernard Sanders,57.0,Bernard Sanders,83,Bernie Sanders
Bernard Sanders,57.0,Bernard Sanders,48,Edward Shlikas
Beto O'Rourke,16.871365780141833,Beto O'Rourke,100,Beto O'Rourke
Bill Nelson,18.011185054627916,Bill Nelson,100,Bill Nelson
Bob Flanders,3.6779999999999986,Bob Flanders,100,Bob Flanders
Chele Farley,21.499999999999986,Chele Farley,100,Chele Farley
Christopher Murphy,3.441666666666664,Christopher Murphy,80,Chris Murphy
Christopher Murphy,3.441666666666664,Christopher Murphy,44,Sen. Murphy Office
Christopher Murphy,3.441666666666664,Christopher Murphy,55,Dr. Greg Murphy
Claire McCaskill,6.714169772256724,Claire McCaskill,100,Claire McCaskill
Corey Stewart,25.58090909090909,Corey Stewart,100,Corey Stewart
Craig Bowden,0.9799999999999996,Craig Bowden,100,Craig Bowden
Dale R. Kerns,0.25,Dale R. Kerns,50,Tate Reeves
Danny Bedwell,2.630233333333333,Danny Bedwell,48,Dan McCready
Danny Bedwell,2.630233333333333,Danny Bedwell,100,Danny Bedwell
David Baria,11.187098214285712,David Baria,100,David Baria
Dean Heller,11.66039344608878,Dean Heller,100,Dean Heller
Dean Heller,11.66039344608878,Dean Heller,48,Hank Schroeder
Dean Heller,11.66039344608878,Dean Heller,36,Eve Reyes-Aguirre
Deb Fischer,39.0,Deb Fischer,100,Deb Fischer
Debbie Stabenow,6.998436974789917,Debbie Stabenow,100,Debbie Stabenow
Dianne Feinstein,35.10253246753247,Dianne Feinstein,89,Sen Dianne Feinstein
Don Blankenship,8.0,Don Blankenship,56,Dan Bishop
Elizabeth Warren,3.2292307692307727,Elizabeth Warren,100,Elizabeth Warren
Eric L. Brakey,26.404416666666673,Eric L. Brakey,88,Eric Brakey
Gary Johnson,65.35180000000001,Gary Johnson,83,Gov. Gary Johnson
Gary Trauner,,Gary Trauner,60,Gary Trauner for U.S. Senate
Geoff Diehl,22.453333333333344,Geoff Diehl,100,Geoff Diehl
Heidi Heitkamp,4.484477124182988,Heidi Heitkamp,100,Heidi Heitkamp
Jacky Rosen,13.558864852008453,Jacky Rosen,100,Jacky Rosen
Jane Raybould,16.33333333333333,Jane Raybould,100,Jane Raybould
Japheth R. Campbell,2.575163398692811,Japheth R. Campbell,91,Japheth Campbell
Jenny Wilson,15.09904761904762,Jenny Wilson,100,Jenny Wilson
