candidate_name,poll_variance,poll_name,score,twitter_name
Adam C. Kokesh,,Adam C. Kokesh,65,(((Adam Frodo Kokesh)))
Amy Klobuchar,16.9810989,Amy Klobuchar,100,Amy Klobuchar
Angus S. King Jr.,42.03846667,Angus S. King Jr.,57,Senator Angus King
Arvin Vohra,,Arvin Vohra,100,Arvin Vohra
Arvin Vohra,,Arvin Vohra,100,Arvin Vohra
Bernard Sanders,57,Bernard Sanders,83,Bernie Sanders
Beto O'Rourke,16.87136578,Beto O'Rourke,100,Beto O'Rourke
Bill Nelson,18.01118505,Bill Nelson,100,Bill Nelson
Bob Flanders,3.678,Bob Flanders,100,Bob Flanders
Chele Farley,21.5,Chele Farley,100,Chele Farley
Christopher Murphy,3.441666667,Christopher Murphy,80,Chris Murphy
Christopher Murphy,3.441666667,Christopher Murphy,44,Sen. Murphy Office
Claire McCaskill,6.714169772,Claire McCaskill,100,Claire McCaskill
Corey Stewart,25.58090909,Corey Stewart,100,Corey Stewart
Craig Bowden,0.98,Craig Bowden,100,Craig Bowden
Danny Bedwell,2.630233333,Danny Bedwell,100,Danny Bedwell
David Baria,11.18709821,David Baria,100,David Baria
Dean Heller,11.66039345,Dean Heller,100,Dean Heller
Deb Fischer,39,Deb Fischer,100,Deb Fischer
Debbie Stabenow,6.998436975,Debbie Stabenow,100,Debbie Stabenow
Dianne Feinstein,35.10253247,Dianne Feinstein,89,Sen Dianne Feinstein
Elizabeth Warren,3.229230769,Elizabeth Warren,100,Elizabeth Warren
Eric L. Brakey,26.40441667,Eric L. Brakey,88,Eric Brakey
Gary Johnson,65.3518,Gary Johnson,83,Gov. Gary Johnson
Gary Trauner,,Gary Trauner,60,Gary Trauner for U.S. Senate
Geoff Diehl,22.45333333,Geoff Diehl,100,Geoff Diehl
Heidi Heitkamp,4.484477124,Heidi Heitkamp,100,Heidi Heitkamp
Jacky Rosen,13.55886485,Jacky Rosen,100,Jacky Rosen
Jane Raybould,16.33333333,Jane Raybould,100,Jane Raybould
Japheth R. Campbell,2.575163399,Japheth R. Campbell,91,Japheth Campbell
Jenny Wilson,15.09904762,Jenny Wilson,100,Jenny Wilson
Jim Renacci,30.77104167,Jim Renacci,100,Jim Renacci
Joe Donnelly,12.97823077,Joe Donnelly,59,Archive: Senator Joe Donnelly
"Joe Manchin, III",14.21677463,"Joe Manchin, III",63,Senator Joe Manchin
John Barrasso,,John Barrasso,84,Sen. John Barrasso
Jon Tester,10.34148148,Jon Tester,100,Jon Tester
Josh Hawley,10.83693789,Josh Hawley,100,Josh Hawley
Kevin de León,47.71428571,Kevin de León,92,Kevin de Leόn
Kirsten E. Gillibrand,9.25,Kirsten E. Gillibrand,92,Kirsten Gillibrand
Leah Vukmir,12.35739418,Leah Vukmir,100,Leah Vukmir
Marcia Squier,0.28,Marcia Squier,46,marcia_marcia
Maria Cantwell,0.5,Maria Cantwell,85,Sen. Maria Cantwell
Marsha Blackburn,32.46090992,Marsha Blackburn,100,Marsha Blackburn
Martin Heinrich,25.58556319,Martin Heinrich,100,Martin Heinrich
Matt Rosendale,10.93582011,Matt Rosendale,100,Matt Rosendale
Matthew Corey,16.895,Matthew Corey,100,Matthew Corey
Mick Rich,108.6038667,Mick Rich,100,Mick Rich
Mike Braun,16.71433333,Mike Braun,100,Mike Braun
Mitt Romney,31.9847619,Mitt Romney,100,Mitt Romney
Murray Sabrin,5.537666667,Murray Sabrin,100,Murray Sabrin
Neal Dikeman,0.642062222,Neal Dikeman,100,Neal Dikeman
Neal Simon,47.045,Neal Simon,100,Neal Simon
Paula M. Overby,2.386666667,Paula M. Overby,74,paula overby
Phil Bredesen,14.58718594,Phil Bredesen,100,Phil Bredesen
Reed C. McCandless,0.245,Reed C. McCandless,91,Reed McCandless
Robert Menendez,39.03780797,Robert Menendez,53,Menendez for NJ
Robert P. Casey Jr.,15.42355913,Robert P. Casey Jr.,75,Bob Casey Jr.
Shawn R. O'Hara,0.8929,Shawn R. O'Hara,89,Shawn O'Hara
Sheldon Whitehouse,1.688,Sheldon Whitehouse,100,Sheldon Whitehouse
Sherrod Brown,12.47967803,Sherrod Brown,100,Sherrod Brown
Shiva Ayyadurai,2.611555556,Shiva Ayyadurai,48,"Dr. Shiva Ayyadurai, MIT PhD. Inventor of Email"
Susan Hutchison,4.5,Susan Hutchison,100,Susan Hutchison
Tammy Baldwin,12.19739418,Tammy Baldwin,84,Sen. Tammy Baldwin
Ted Cruz,25.00134255,Ted Cruz,67,Senator Ted Cruz
Thomas R. Carper,61,Thomas R. Carper,59,Senator Tom Carper
Tim Kaine,10.52,Tim Kaine,100,Tim Kaine
