rep_twitter_name,score,rep_name
,53,Martha McSally
Kevin de Leόn,85,Kevin De Leon
Matthew Corey,100,Matthew Corey
,41,Robert B Arlett
,53,Rick Scott
Ron Curtis,100,Ron Curtis
Mike Braun,100,Mike Braun
Eric Brakey,88,Eric L. Brakey
,62,Tony Campbell
Geoff Diehl,100,Geoff Diehl
,60,John James
,43,Jim Newberger
,38,Roger F. Wicker
Josh Hawley,100,Josh Hawley
Matt Rosendale,100,Matt Rosendale
Deb Fischer,100,Deb Fischer
Dean Heller,100,Dean Heller
,48,Bob Hugin
Mick Rich,100,Mick Rich
Chele Farley,71,Chele Chiavacci Farley
,67,Kevin Cramer
Jim Renacci,100,Jim Renacci
,43,Louis J. Barletta
Bob Flanders,63,"Robert G. Flanders, Jr."
Marsha Blackburn,100,Marsha Blackburn
Senator Ted Cruz,67,Ted Cruz
Mitt Romney,100,Mitt Romney
,43,Lawrence Zupan
Corey Stewart,90,Corey A. Stewart
Susan Hutchison,100,Susan Hutchison
,52,Patrick Morrisey
Leah Vukmir,100,Leah Vukmir
Sen. John Barrasso,84,John Barrasso
